#Position (bp)	Coverage	Std
3381345.5	6.797001193312129	5.634165302683271
1.01440355E7	6.5995938006917365	4.525950837016752
1.69067255E7	6.670891316916789	4.671658242851797
2.36694155E7	6.732166785702139	5.14923099590054
3.04321055E7	6.790207299166456	5.423497875839429
3.71947955E7	6.568538850664455	4.775438268856957
4.39574855E7	6.664196052162675	5.022977756679361
5.07201755E7	6.686184048063715	4.981202946520104
5.74828655E7	6.744164230505908	5.516704198865095
6.42455555E7	6.611545405748305	5.046267143068924
7.10082455E7	6.751908781860473	5.347558265163818
7.77709355E7	6.745549773832602	5.477572775970802
8.45336255E7	6.753608845001028	6.653387592538344
9.12963155E7	6.72293332978445	5.487637233974476
9.80590055E7	7.270004096003218	6.642336838851342
1.048216955E8	6.641537465121128	5.073049347014458
1.115843855E8	6.642140775342356	4.871109090214114
1.183470755E8	7.540375797204958	7.495216694042809
1.251097655E8	7.776818691970207	7.856566262608923
1.318724555E8	6.697022486614054	5.241946107270234
1.386351455E8	6.7047637848252695	4.997050451309998
1.453978355E8	6.707814493936584	5.257490685313878
1.521605255E8	6.73474519754713	5.394725889091912
1.589232155E8	6.640156801509458	5.00670551102049
1.656859055E8	6.536339829269123	4.592394933049305
1.724485955E8	6.85546757281496	5.705309708967644
1.792112855E8	6.442446422947082	4.412389326887895
1.859739755E8	6.258823633790696	3.9111314591673705
1.927366655E8	6.46720225235816	4.346319220472461
1.994993555E8	6.446904116557169	4.460934776198512
2.05937114E8	6.694651754417391	5.996744771627443
2.09318459E8	6.819842028242876	5.695201440182085
2.130247355E8	6.495358799530956	4.840618145385161
2.197874255E8	6.490562039661732	4.4667642996264325
2.265501155E8	6.369238572224958	4.1089486787702745
2.333128055E8	6.3625854504642385	4.402033997998771
2.400754955E8	6.636538123143305	4.967849564925585
2.468381855E8	6.738187910432091	5.4426393069957895
2.536008755E8	6.625691108124134	5.181274478845885
2.603635655E8	6.638185544509655	5.165949162792407
2.671262555E8	6.628015183307234	4.988771351975197
2.738889455E8	6.727703620896419	5.040574778643176
2.806516355E8	7.096713881606284	7.6002217494605215
2.874143255E8	6.575179699202536	6.370328870734877
2.941770155E8	6.5933619609948115	4.656445652135967
3.009397055E8	7.406627835964683	281.2750378046214
3.077023955E8	6.658865481043786	5.062476369815311
3.144650855E8	6.602863801238856	4.850363052987332
3.212277755E8	6.719700888256004	5.176718753227766
3.279904655E8	18.0556105632522	21.156104263354248
3.347531555E8	7.72734414855627	7.47656924271825
3.415158455E8	6.732158504973612	5.270810149704539
3.482785355E8	6.704832840186375	6.107901888090337
3.550412255E8	6.716572103704295	5.4563981439102704
3.618039155E8	6.748938070501532	7.237604144451137
3.685666055E8	6.610511645513841	4.912298710429749
3.753292955E8	6.5710254351448905	5.105485382681124
3.820919855E8	6.533945367893545	4.746033320392915
3.888546755E8	6.620598164339929	4.823724181092232
3.956173655E8	6.563514962241356	4.928766791938581
4.023800555E8	6.448191769843065	4.206365183469601
4.07291275E8	6.7891068842574995	5.29885452977121
4.1067262E8	6.915044015014012	6.379159393556794
4.159054355E8	6.5118439555857215	4.321848274931708
4.226681255E8	6.430207210444364	4.608610498407049
4.294308155E8	6.643706424514505	5.588306969113389
4.361935055E8	6.3952915186116766	4.230711047083429
4.429561955E8	6.309205656329064	4.000743163316342
4.497188855E8	7.335664210543437	9.331663600570367
4.564815755E8	6.573670684298704	4.685849278205799
4.632442655E8	8.484604794837557	7.550679822248783
4.700069555E8	6.785560036021169	5.712668704147025
4.767696455E8	6.472767493408688	4.588703936658267
4.835323355E8	6.518678514023266	4.6124392739321305
4.902950255E8	6.646453999813684	5.425866989761318
4.970577155E8	6.686102867350122	5.086307095240545
5.038204055E8	6.659713959977465	4.782487744403851
5.105830955E8	6.699177546213119	5.52004240031749
5.173457855E8	6.672910188105621	5.212173271611631
5.241084755E8	6.747975435810306	5.100765041632753
5.308711655E8	6.529378693981241	4.67307070090601
5.376338555E8	6.845412402461151	6.879584988869001
5.443965455E8	6.874067715657527	5.79701219471887
5.511592355E8	6.7437039107219166	5.096606832853661
5.579219255E8	6.644561409734884	5.156125466930865
5.646846155E8	6.751928596460876	5.1591582626913395
5.714473055E8	6.636713349273736	4.782999628865226
5.782099955E8	6.625334888927335	4.766580334016268
5.849726855E8	6.65026180410458	6.492780148663054
5.903608885E8	6.675984548981543	5.983915791180232
5.937422335E8	6.579037124396229	9.291292064744306
5.984980655E8	10.27861738450232	18.116053736319554
6.052607555E8	6.597220484747933	5.208862714254296
6.120234455E8	6.51381166370187	4.538295815312608
6.187861355E8	6.5371418769749905	4.621320409619248
6.255488255E8	6.5349454137332925	4.678102968238451
6.323115155E8	6.684926708159032	5.2213562605667185
6.390742055E8	6.596409564832929	4.646561772994656
6.458368955E8	6.658454106280193	5.353732025455819
6.525995855E8	6.861977852008594	6.521250381058813
6.593622755E8	6.611998923505292	6.035268952353169
6.661249655E8	6.804831952965462	5.902558352094361
6.728876555E8	6.921265206596783	5.714176283251977
6.796503455E8	6.590121386607992	5.041507444202199
6.864130355E8	6.877328252514902	6.146432487173978
6.931757255E8	6.690991158843596	11.430896902843472
6.999384155E8	6.630656439966936	5.265742382136227
7.067011055E8	6.563077414460814	5.183723759662592
7.134637955E8	6.682181350912137	5.393330532883949
7.202264855E8	6.716071119628432	5.173919022275123
7.269891755E8	6.922427170253258	5.54268676300776
7.337518655E8	6.706764172245069	5.168431612854337
7.405145555E8	6.596775691329929	4.6686651949737
7.472772455E8	6.557811018988006	4.698614266548406
7.540399355E8	6.443694151291868	4.347503328406835
