## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SQT047_merged.bam] OUTPUT=SQT047_merged_dedup.bam METRICS_FILE=SQT047_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 15:02:27 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20484536	88564889	1704150	18405400	4351311	5423473	574393	0.076909	768721736

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006159	78424123	0	78933148
2.0	1.902826	4381367	563781	3929499
3.0	2.701917	262191	5222	209957
4.0	3.414049	28899	56	24608
5.0	4.048686	10575	0	10211
6.0	4.614261	6684	0	6626
7.0	5.118289	4913	0	4894
8.0	5.567468	3691	0	3677
9.0	5.967767	2894	0	2877
10.0	6.324504	2232	0	2189
11.0	6.642421	1836	0	1841
12.0	6.925741	1582	0	1561
13.0	7.178231	1311	0	1297
14.0	7.403244	1103	0	1116
15.0	7.60377	954	0	957
16.0	7.782475	813	0	792
17.0	7.941733	714	0	690
18.0	8.083661	591	0	588
19.0	8.210143	490	0	493
20.0	8.322862	465	0	444
21.0	8.423314	392	0	406
22.0	8.512835	357	0	347
23.0	8.592614	295	0	295
24.0	8.663712	275	0	274
25.0	8.727072	257	0	241
26.0	8.783538	183	0	187
27.0	8.833859	196	0	195
28.0	8.878704	169	0	166
29.0	8.918668	148	0	149
30.0	8.954284	135	0	129
31.0	8.986024	120	0	122
32.0	9.01431	118	0	112
33.0	9.039518	93	0	99
34.0	9.061983	93	0	93
35.0	9.082003	80	0	75
36.0	9.099844	73	0	76
37.0	9.115744	79	0	77
38.0	9.129914	71	0	69
39.0	9.142542	58	0	52
40.0	9.153795	46	0	49
41.0	9.163824	44	0	47
42.0	9.172762	44	0	38
43.0	9.180727	53	0	51
44.0	9.187825	28	0	30
45.0	9.19415	37	0	32
46.0	9.199788	37	0	44
47.0	9.204812	42	0	40
48.0	9.209289	31	0	31
49.0	9.213279	31	0	29
50.0	9.216835	31	0	32
51.0	9.220004	23	0	22
52.0	9.222828	20	0	23
53.0	9.225344	16	0	11
54.0	9.227587	15	0	14
55.0	9.229586	17	0	18
56.0	9.231367	15	0	14
57.0	9.232954	14	0	15
58.0	9.234369	16	0	18
59.0	9.23563	8	0	10
60.0	9.236753	19	0	16
61.0	9.237755	15	0	14
62.0	9.238647	12	0	14
63.0	9.239442	12	0	9
