## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1018_merged.bam] OUTPUT=SCCA1018_merged_dedup.bam METRICS_FILE=SCCA1018_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 02 11:26:15 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	15681905	72073588	1208621	10319993	2825076	3372234	238221	0.059874	799153323

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003169	66050460	0	66270643
2.0	1.919824	2457036	235834	2251798
3.0	2.757428	109553	1186	95495
4.0	3.522796	22569	5	21927
5.0	4.222158	13093	0	13007
6.0	4.861208	8964	0	8942
7.0	5.445146	6561	0	6539
8.0	5.978725	5144	0	5137
9.0	6.466288	4138	0	4124
10.0	6.911803	3197	0	3198
11.0	7.318898	2614	0	2598
12.0	7.690884	2224	0	2240
13.0	8.03079	1883	0	1869
14.0	8.341383	1549	0	1528
15.0	8.62519	1352	0	1355
16.0	8.884522	1188	0	1173
17.0	9.121489	1048	0	1054
18.0	9.33802	945	0	932
19.0	9.535877	787	0	783
20.0	9.716671	664	0	671
21.0	9.881873	612	0	603
22.0	10.032828	498	0	494
23.0	10.170765	457	0	459
24.0	10.296806	435	0	442
25.0	10.411977	383	0	375
26.0	10.517216	333	0	321
27.0	10.61338	285	0	282
28.0	10.70125	272	0	283
29.0	10.781542	251	0	245
30.0	10.854909	239	0	231
31.0	10.92195	220	0	229
32.0	10.983209	212	0	208
33.0	11.039185	161	0	155
34.0	11.090333	139	0	138
35.0	11.137071	125	0	128
36.0	11.179777	124	0	123
37.0	11.218801	133	0	136
38.0	11.25446	116	0	110
39.0	11.287043	89	0	89
40.0	11.316816	84	0	84
41.0	11.344022	74	0	70
42.0	11.368881	67	0	71
43.0	11.391596	82	0	78
44.0	11.412353	58	0	62
45.0	11.431319	67	0	65
46.0	11.44865	56	0	59
47.0	11.464486	64	0	57
48.0	11.478957	42	0	40
49.0	11.492179	38	0	45
50.0	11.504262	48	0	43
51.0	11.515302	39	0	42
52.0	11.52539	33	0	33
53.0	11.534608	31	0	31
54.0	11.543031	35	0	35
55.0	11.550728	32	0	28
56.0	11.557761	22	0	26
57.0	11.564187	24	0	19
58.0	11.57006	30	0	31
59.0	11.575425	14	0	13
60.0	11.580328	17	0	15
61.0	11.584809	13	0	15
62.0	11.588903	11	0	15
63.0	11.592643	18	0	13
64.0	11.596062	21	0	20
65.0	11.599185	12	0	13
66.0	11.602039	20	0	24
67.0	11.604647	18	0	17
68.0	11.60703	16	0	15
69.0	11.609207	14	0	13
70.0	11.611197	11	0	11
71.0	11.613015	12	0	12
72.0	11.614677	8	0	5
73.0	11.616195	8	0	11
74.0	11.617582	9	0	8
75.0	11.618849	8	0	6
76.0	11.620007	8	0	12
77.0	11.621066	9	0	9
78.0	11.622033	6	0	4
79.0	11.622916	6	0	5
80.0	11.623724	7	0	8
81.0	11.624462	6	0	6
82.0	11.625136	5	0	5
83.0	11.625752	5	0	3
84.0	11.626315	4	0	4
85.0	11.626829	2	0	4
86.0	11.627299	7	0	5
87.0	11.627729	2	0	2
88.0	11.628121	3	0	4
89.0	11.62848	1	0	2
90.0	11.628807	6	0	6
91.0	11.629107	4	0	3
92.0	11.62938	5	0	5
93.0	11.62963	2	0	2
94.0	11.629859	2	0	4
95.0	11.630067	3	0	1
96.0	11.630258	3	0	2
97.0	11.630432	1	0	2
98.0	11.630592	2	0	4
99.0	11.630737	2	0	0
100.0	11.63087	3	0	2
101.0	0	1	0	2
102.0	0	1	0	1
103.0	0	1	0	1
104.0	0	1	0	1
105.0	0	3	0	2
108.0	0	2	0	3
109.0	0	2	0	2
110.0	0	2	0	1
111.0	0	2	0	2
113.0	0	2	0	2
115.0	0	0	0	1
116.0	0	2	0	2
117.0	0	1	0	1
118.0	0	2	0	3
119.0	0	4	0	2
120.0	0	1	0	1
123.0	0	1	0	1
127.0	0	1	0	1
129.0	0	1	0	2
131.0	0	1	0	0
132.0	0	2	0	3
133.0	0	1	0	0
134.0	0	1	0	1
141.0	0	0	0	1
142.0	0	2	0	1
151.0	0	0	0	1
153.0	0	1	0	0
172.0	0	0	0	1
173.0	0	1	0	0
182.0	0	1	0	1
193.0	0	1	0	1

