## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1020_merged.bam] OUTPUT=SCCA1020_merged_dedup.bam METRICS_FILE=SCCA1020_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 02 11:26:15 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	13522407	89858762	1429856	12962604	2863045	4840379	382915	0.064913	867956376

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004062	81163334	0	81514478
2.0	1.909374	3582947	378387	3258442
3.0	2.725648	168448	2229	143316
4.0	3.461642	28411	22	27280
5.0	4.125251	15572	1	15442
6.0	4.723593	10675	0	10630
7.0	5.263088	7843	0	7815
8.0	5.749524	5859	0	5873
9.0	6.188119	4761	0	4716
10.0	6.583578	3796	0	3793
11.0	6.940143	3136	0	3119
12.0	7.26164	2740	0	2719
13.0	7.551518	2217	0	2203
14.0	7.812886	1916	0	1913
15.0	8.048549	1577	0	1581
16.0	8.261034	1370	0	1360
17.0	8.452621	1260	0	1261
18.0	8.625366	1075	0	1075
19.0	8.781121	1007	0	1000
20.0	8.921558	912	0	894
21.0	9.048182	816	0	827
22.0	9.162353	720	0	709
23.0	9.265295	610	0	606
24.0	9.358113	546	0	538
25.0	9.441802	533	0	544
26.0	9.517261	442	0	420
27.0	9.585298	389	0	406
28.0	9.646643	368	0	352
29.0	9.701956	339	0	345
30.0	9.751828	327	0	332
31.0	9.796795	337	0	326
32.0	9.83734	257	0	264
33.0	9.873897	238	0	226
34.0	9.906859	237	0	240
35.0	9.936579	220	0	215
36.0	9.963376	211	0	209
37.0	9.987537	178	0	184
38.0	10.009322	160	0	157
39.0	10.028965	154	0	154
40.0	10.046676	149	0	148
41.0	10.062645	137	0	141
42.0	10.077043	126	0	117
43.0	10.090025	120	0	124
44.0	10.101731	96	0	91
45.0	10.112285	97	0	98
46.0	10.121801	93	0	94
47.0	10.130382	86	0	80
48.0	10.138118	73	0	72
49.0	10.145094	59	0	58
50.0	10.151383	63	0	66
51.0	10.157054	87	0	80
52.0	10.162167	56	0	68
53.0	10.166777	77	0	65
54.0	10.170934	48	0	52
55.0	10.174682	54	0	50
56.0	10.178062	55	0	58
57.0	10.181109	43	0	44
58.0	10.183856	42	0	41
59.0	10.186333	41	0	36
60.0	10.188567	36	0	41
61.0	10.190581	42	0	42
62.0	10.192397	46	0	40
63.0	10.194034	22	0	25
