## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1012_merged.bam] OUTPUT=SCCA1012_merged_dedup.bam METRICS_FILE=SCCA1012_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 02 11:26:14 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	11754087	83903394	1073004	11273560	2319366	4382446	373955	0.06173	842226742

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004258	75940001	0	76283066
2.0	1.913292	3335392	369405	3018545
3.0	2.736132	155225	2231	130584
4.0	3.480951	25868	28	24629
5.0	4.155147	13852	1	13705
6.0	4.765416	9401	0	9420
7.0	5.317819	7119	0	7075
8.0	5.817844	5252	0	5251
9.0	6.270456	4112	0	4084
10.0	6.680152	3330	0	3319
11.0	7.051001	2692	0	2672
12.0	7.386686	2268	0	2254
13.0	7.690542	1938	0	1949
14.0	7.965586	1597	0	1575
15.0	8.214551	1437	0	1446
16.0	8.439909	1250	0	1233
17.0	8.643899	1040	0	1042
18.0	8.828546	927	0	920
19.0	8.995686	782	0	774
20.0	9.146977	708	0	706
21.0	9.283923	606	0	601
22.0	9.407883	550	0	539
23.0	9.52009	496	0	492
24.0	9.621658	445	0	462
25.0	9.713595	414	0	402
26.0	9.796814	350	0	340
27.0	9.872143	327	0	324
28.0	9.940329	272	0	279
29.0	10.002049	238	0	230
30.0	10.057918	237	0	231
31.0	10.108488	220	0	227
32.0	10.154264	191	0	186
33.0	10.1957	166	0	167
34.0	10.233206	166	0	157
35.0	10.267156	145	0	145
36.0	10.297887	140	0	148
37.0	10.325704	131	0	120
38.0	10.350884	111	0	117
39.0	10.373676	113	0	105
40.0	10.394307	89	0	98
41.0	10.412981	78	0	70
42.0	10.429885	87	0	90
43.0	10.445186	93	0	94
44.0	10.459037	72	0	67
45.0	10.471574	60	0	61
46.0	10.482922	64	0	65
47.0	10.493194	61	0	59
48.0	10.502492	54	0	48
49.0	10.510909	42	0	47
50.0	10.518527	45	0	43
51.0	10.525424	29	0	31
52.0	10.531666	32	0	28
53.0	10.537316	35	0	37
54.0	10.542431	42	0	39
55.0	10.54706	21	0	19
56.0	10.551251	20	0	26
57.0	10.555044	33	0	29
58.0	10.558478	23	0	22
59.0	10.561586	22	0	26
60.0	10.564399	23	0	19
61.0	10.566946	20	0	19
62.0	10.569251	19	0	21
63.0	10.571337	25	0	21
64.0	10.573226	11	0	13
65.0	10.574936	15	0	18
66.0	10.576483	15	0	12
67.0	10.577884	12	0	13
68.0	10.579152	15	0	13
69.0	10.5803	13	0	16
70.0	10.581339	13	0	12
