## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/scca0539_merged.bam] OUTPUT=scca0539_merged_dedup.bam METRICS_FILE=scca0539_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20965302	78456273	1651707	16349210	4280075	5103389	493092	0.081443	632952292

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005941	69148964	0	69584820
2.0	1.894611	3873574	483886	3485968
3.0	2.67968	239187	4504	195374
4.0	3.373228	31372	66	27582
5.0	3.985923	13147	0	12841
6.0	4.527191	8658	0	8593
7.0	5.005358	6143	0	6088
8.0	5.427782	4716	0	4687
9.0	5.800959	3651	0	3616
10.0	6.130633	2930	0	2931
11.0	6.421873	2453	0	2437
12.0	6.679162	1995	0	2013
13.0	6.906455	1640	0	1597
14.0	7.107252	1482	0	1473
15.0	7.284639	1284	0	1283
16.0	7.441348	1136	0	1105
17.0	7.579787	929	0	934
18.0	7.702087	813	0	803
19.0	7.81013	774	0	785
20.0	7.905577	685	0	666
21.0	7.989897	607	0	608
22.0	8.064387	513	0	524
23.0	8.130194	503	0	483
24.0	8.188328	405	0	418
25.0	8.239686	413	0	396
26.0	8.285056	353	0	339
27.0	8.325137	321	0	330
28.0	8.360545	295	0	286
29.0	8.391826	278	0	278
30.0	8.41946	199	0	207
31.0	8.443872	234	0	225
32.0	8.465439	164	0	163
33.0	8.484491	206	0	209
34.0	8.501322	171	0	175
35.0	8.516191	165	0	149
36.0	8.529327	141	0	151
37.0	8.540931	167	0	166
38.0	8.551182	131	0	116
39.0	8.560239	112	0	115
40.0	8.568239	114	0	121
41.0	8.575307	110	0	108
42.0	8.581551	103	0	101
43.0	8.587067	101	0	99
44.0	8.59194	83	0	86
45.0	8.596245	75	0	67
46.0	8.600048	69	0	69
47.0	8.603408	63	0	62
48.0	8.606376	60	0	61
49.0	8.608998	48	0	46
50.0	8.611314	63	0	66
51.0	8.61336	57	0	62
52.0	8.615168	54	0	46
53.0	8.616765	55	0	64
54.0	8.618176	47	0	46
55.0	8.619422	57	0	43
56.0	8.620523	38	0	40
57.0	8.621496	42	0	44
58.0	8.622355	35	0	34
59.0	8.623115	29	0	27
60.0	8.623785	30	0	28
61.0	8.624378	25	0	19
62.0	8.624901	14	0	16
63.0	8.625363	21	0	27
64.0	8.625772	24	0	18
65.0	8.626133	23	0	28
66.0	8.626451	21	0	17
67.0	8.626733	18	0	18
68.0	8.626982	16	0	20
69.0	8.627202	24	0	20
70.0	8.627396	18	0	17
71.0	8.627567	13	0	15
72.0	8.627719	23	0	17
73.0	8.627853	11	0	14
74.0	8.627971	17	0	15
75.0	8.628075	7	0	13
76.0	8.628168	17	0	12
77.0	8.628249	10	0	18
78.0	8.628321	19	0	13
79.0	8.628385	11	0	10
80.0	8.628441	9	0	14
81.0	8.628491	11	0	7
82.0	8.628535	14	0	11
83.0	8.628573	7	0	9
84.0	8.628608	8	0	13
85.0	8.628638	11	0	5
86.0	8.628665	6	0	7
87.0	8.628688	10	0	9
88.0	8.628709	8	0	6
89.0	8.628728	6	0	4
90.0	8.628744	4	0	7
91.0	8.628758	5	0	4
92.0	8.628771	9	0	10
93.0	8.628782	9	0	8
94.0	8.628792	5	0	5
95.0	8.628801	7	0	7
96.0	8.628809	6	0	8
97.0	8.628815	9	0	6
98.0	8.628821	3	0	5
99.0	8.628827	5	0	9
100.0	8.628831	12	0	6
101.0	0	3	0	5
102.0	0	6	0	6
103.0	0	6	0	10
104.0	0	8	0	7
105.0	0	8	0	4
106.0	0	2	0	1
107.0	0	5	0	8
108.0	0	4	0	2
109.0	0	3	0	4
110.0	0	2	0	2
111.0	0	4	0	3
112.0	0	3	0	3
113.0	0	2	0	3
114.0	0	4	0	2
115.0	0	1	0	1
116.0	0	2	0	1
117.0	0	2	0	3
118.0	0	1	0	0
119.0	0	0	0	1
121.0	0	0	0	7
122.0	0	6	0	1
123.0	0	4	0	2
124.0	0	1	0	2
125.0	0	2	0	0
126.0	0	2	0	2
127.0	0	2	0	4
128.0	0	2	0	2
129.0	0	5	0	3
131.0	0	1	0	6
132.0	0	3	0	0
133.0	0	4	0	2
134.0	0	3	0	3
135.0	0	0	0	5
136.0	0	4	0	0
137.0	0	1	0	1
138.0	0	1	0	2
139.0	0	2	0	2
140.0	0	1	0	1
142.0	0	2	0	1
143.0	0	2	0	2
145.0	0	1	0	1
147.0	0	1	0	1
148.0	0	1	0	1
150.0	0	2	0	2
151.0	0	1	0	0
154.0	0	0	0	1
