## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SQT034_merged.bam] OUTPUT=SQT034_merged_dedup.bam METRICS_FILE=SQT034_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 14:58:33 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	29689491	103286099	1318559	21089641	6917639	6426394	703745	0.08368	884907171

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006468	91343601	0	91970204
2.0	1.902058	5121864	690673	4562078
3.0	2.698984	303338	6415	242217
4.0	3.408117	34400	74	29507
5.0	4.039128	13103	2	12662
6.0	4.600624	8125	1	8034
7.0	5.100262	5841	0	5784
8.0	5.544857	4516	1	4494
9.0	5.940474	3453	0	3454
10.0	6.292507	2681	0	2670
11.0	6.605758	2405	0	2365
12.0	6.884499	1956	0	1940
13.0	7.132533	1557	0	1555
14.0	7.353243	1365	0	1356
15.0	7.549637	1173	0	1160
16.0	7.724396	1058	0	1052
17.0	7.879902	880	0	858
18.0	8.018277	724	0	722
19.0	8.141408	653	0	658
20.0	8.250974	632	0	625
21.0	8.34847	539	0	546
22.0	8.435225	485	0	470
23.0	8.512423	450	0	464
24.0	8.581116	391	0	371
25.0	8.642241	364	0	360
26.0	8.696633	310	0	307
27.0	8.745033	261	0	255
28.0	8.7881	252	0	258
29.0	8.826423	228	0	218
30.0	8.860524	241	0	257
31.0	8.890869	202	0	174
32.0	8.91787	172	0	167
33.0	8.941897	146	0	156
34.0	8.963277	144	0	136
35.0	8.982302	136	0	149
36.0	8.99923	135	0	133
37.0	9.014294	131	0	117
38.0	9.027698	116	0	115
39.0	9.039626	100	0	95
40.0	9.050239	92	0	101
41.0	9.059684	85	0	76
42.0	9.068088	65	0	71
43.0	9.075566	84	0	80
44.0	9.08222	61	0	61
45.0	9.088141	79	0	82
46.0	9.09341	65	0	64
47.0	9.098098	46	0	49
48.0	9.10227	48	0	48
49.0	9.105983	43	0	36
50.0	9.109286	46	0	46
51.0	9.112225	53	0	57
52.0	9.114841	43	0	38
53.0	9.117169	39	0	35
54.0	9.11924	33	0	41
55.0	9.121083	40	0	37
56.0	9.122722	41	0	36
57.0	9.124182	38	0	34
58.0	9.12548	29	0	33
59.0	9.126635	29	0	29
60.0	9.127664	23	0	22
61.0	9.128578	24	0	25
62.0	9.129393	24	0	19
63.0	9.130117	14	0	21
64.0	9.130762	19	0	18
65.0	9.131335	17	0	14
66.0	9.131845	15	0	16
67.0	9.1323	19	0	16
68.0	9.132704	21	0	20
69.0	9.133063	11	0	11
70.0	9.133383	13	0	13
71.0	9.133668	12	0	11
72.0	9.133922	12	0	12
