## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SQT056_merged.bam] OUTPUT=SQT056_merged_dedup.bam METRICS_FILE=SQT056_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 15:02:59 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	26632400	89070542	2032490	18161678	5560048	5307683	546348	0.078992	793153966

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005832	79130418	0	79617073
2.0	1.904821	4312207	537026	3878001
3.0	2.708316	249154	4583	200986
4.0	3.426462	27142	52	23448
5.0	4.068324	10419	0	10097
6.0	4.642005	6688	0	6611
7.0	5.154749	4862	0	4850
8.0	5.613026	3676	0	3641
9.0	6.022625	2842	0	2832
10.0	6.388714	2272	0	2265
11.0	6.715916	1846	0	1821
12.0	7.008362	1516	0	1508
13.0	7.269743	1289	0	1274
14.0	7.50336	1040	0	1040
15.0	7.712161	897	0	896
16.0	7.898782	710	0	695
17.0	8.06558	618	0	614
18.0	8.21466	537	0	548
19.0	8.347904	525	0	501
20.0	8.466995	438	0	430
21.0	8.573436	373	0	375
22.0	8.66857	298	0	307
23.0	8.753598	309	0	298
24.0	8.829595	245	0	236
25.0	8.897519	232	0	237
26.0	8.958228	206	0	203
27.0	9.012488	199	0	203
28.0	9.060985	169	0	165
29.0	9.10433	134	0	124
30.0	9.143071	126	0	126
31.0	9.177696	111	0	116
32.0	9.208644	103	0	102
33.0	9.236304	113	0	115
34.0	9.261026	96	0	88
35.0	9.283122	80	0	72
36.0	9.302871	57	0	65
37.0	9.320522	73	0	66
38.0	9.336298	48	0	54
39.0	9.350399	54	0	51
40.0	9.363001	56	0	52
41.0	9.374265	56	0	66
42.0	9.384333	36	0	28
43.0	9.393331	38	0	40
44.0	9.401373	32	0	32
45.0	9.408561	31	0	22
46.0	9.414985	26	0	27
47.0	9.420727	28	0	28
48.0	9.425859	32	0	31
49.0	9.430446	20	0	29
50.0	9.434546	23	0	22
51.0	9.43821	28	0	27
52.0	9.441485	25	0	21
53.0	9.444412	21	0	20
54.0	9.447028	13	0	11
55.0	9.449367	18	0	20
56.0	9.451457	22	0	21
57.0	9.453324	18	0	19
58.0	9.454994	13	0	14
59.0	9.456486	14	0	13
60.0	9.45782	14	0	11
61.0	9.459012	8	0	8
62.0	9.460077	6	0	5
63.0	9.461029	9	0	10
64.0	9.46188	5	0	5
65.0	9.462641	11	0	11
66.0	9.463321	5	0	7
67.0	9.463928	6	0	4
68.0	9.464472	6	0	8
69.0	9.464957	8	0	5
70.0	9.465391	2	0	2
71.0	9.465779	5	0	7
72.0	9.466125	6	0	5
73.0	9.466435	7	0	7
74.0	9.466712	5	0	4
75.0	9.466959	1	0	3
76.0	9.46718	7	0	9
77.0	9.467378	10	0	5
78.0	9.467555	2	0	5
79.0	9.467713	5	0	7
80.0	9.467854	7	0	2
81.0	9.46798	0	0	1
82.0	9.468093	1	0	1
83.0	9.468193	3	0	3
84.0	9.468283	1	0	1
85.0	9.468364	3	0	4
86.0	9.468436	2	0	2
87.0	9.4685	3	0	3
88.0	9.468558	2	0	0
89.0	9.468609	0	0	0
90.0	9.468655	3	0	4
91.0	9.468696	1	0	1
92.0	9.468733	3	0	4
93.0	9.468765	2	0	0
94.0	9.468795	0	0	0
95.0	9.468821	0	0	0
96.0	9.468844	1	0	2
97.0	9.468865	1	0	0
98.0	9.468884	0	0	1
99.0	9.468901	1	0	0
100.0	9.468916	1	0	2
102.0	0	2	0	5
103.0	0	4	0	2
104.0	0	2	0	0
105.0	0	0	0	1
106.0	0	1	0	0
107.0	0	0	0	1
108.0	0	1	0	0
110.0	0	1	0	2
111.0	0	1	0	0
113.0	0	0	0	1
115.0	0	1	0	0
123.0	0	1	0	2
125.0	0	1	0	0
126.0	0	1	0	2
127.0	0	1	0	0
129.0	0	1	0	1
133.0	0	0	0	1
134.0	0	1	0	0
136.0	0	0	0	1
137.0	0	2	0	2
139.0	0	2	0	1
156.0	0	1	0	1

