## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/scca0201_merged.bam] OUTPUT=scca0201_merged_dedup.bam METRICS_FILE=scca0201_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	33519310	93830240	11414477	15467052	7185797	5404878	301213	0.081362	825531270

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.003041	83910613	0	84181411
2.0	1.898316	4202083	298284	3957426
3.0	2.697404	219097	1445	194725
4.0	3.410639	29185	13	27743
5.0	4.047244	13931	0	13806
6.0	4.615453	9380	0	9348
7.0	5.122614	6781	0	6751
8.0	5.575287	5235	0	5204
9.0	5.979324	4097	0	4099
10.0	6.339953	3155	0	3136
11.0	6.661835	2790	0	2788
12.0	6.949135	2158	0	2139
13.0	7.205568	1832	0	1834
14.0	7.43445	1567	0	1557
15.0	7.638741	1393	0	1384
16.0	7.821083	1234	0	1235
17.0	7.983835	1046	0	1056
18.0	8.129101	875	0	860
19.0	8.258759	795	0	794
20.0	8.374487	781	0	778
21.0	8.477781	656	0	646
22.0	8.569978	579	0	581
23.0	8.652269	490	0	491
24.0	8.725719	480	0	476
25.0	8.791277	402	0	390
26.0	8.849792	386	0	393
27.0	8.90202	325	0	315
28.0	8.948637	303	0	302
29.0	8.990245	276	0	281
30.0	9.027383	244	0	246
31.0	9.060531	213	0	217
32.0	9.090118	237	0	222
33.0	9.116525	192	0	198
34.0	9.140096	169	0	167
35.0	9.161134	181	0	178
36.0	9.179912	137	0	137
37.0	9.196672	144	0	142
38.0	9.211632	120	0	122
39.0	9.224984	141	0	148
40.0	9.236902	107	0	94
41.0	9.247539	99	0	99
42.0	9.257034	96	0	98
43.0	9.265508	94	0	97
44.0	9.273072	77	0	75
45.0	9.279824	63	0	60
46.0	9.285849	71	0	74
47.0	9.291228	60	0	59
48.0	9.296029	56	0	51
49.0	9.300314	53	0	51
50.0	9.304138	53	0	58
51.0	9.307552	47	0	47
52.0	9.310598	45	0	42
53.0	9.313318	33	0	36
54.0	9.315745	37	0	29
55.0	9.317912	22	0	20
56.0	9.319846	34	0	35
57.0	9.321572	26	0	28
58.0	9.323112	32	0	39
59.0	9.324487	38	0	36
60.0	9.325715	30	0	28
61.0	9.32681	28	0	29
62.0	9.327788	21	0	16
63.0	9.32866	23	0	25
64.0	9.329439	19	0	21
65.0	9.330135	21	0	18
66.0	9.330755	15	0	14
67.0	9.331309	19	0	20
68.0	9.331803	17	0	18
69.0	9.332245	20	0	20
70.0	9.332639	15	0	12
71.0	9.33299	9	0	10
72.0	9.333304	14	0	15
73.0	9.333584	12	0	13
74.0	9.333834	12	0	13
75.0	9.334057	11	0	8
76.0	9.334256	12	0	11
77.0	9.334434	16	0	15
78.0	9.334593	5	0	6
79.0	9.334734	14	0	13
80.0	9.334861	9	0	10
81.0	9.334973	8	0	7
82.0	9.335074	3	0	5
83.0	9.335164	6	0	5
84.0	9.335244	9	0	9
85.0	9.335316	7	0	6
86.0	9.33538	8	0	10
87.0	9.335437	3	0	2
88.0	9.335488	5	0	4
89.0	9.335533	4	0	4
90.0	9.335574	5	0	5
91.0	9.33561	2	0	2
92.0	9.335642	4	0	5
93.0	9.335671	3	0	2
94.0	9.335697	4	0	5
95.0	9.33572	5	0	6
96.0	9.33574	5	0	4
97.0	9.335758	3	0	4
98.0	9.335775	3	0	4
99.0	9.335789	3	0	1
100.0	9.335802	3	0	3
101.0	0	4	0	3
102.0	0	0	0	2
103.0	0	4	0	4
104.0	0	4	0	3
105.0	0	5	0	4
106.0	0	1	0	2
107.0	0	3	0	2
108.0	0	1	0	2
109.0	0	3	0	2
110.0	0	2	0	2
111.0	0	3	0	3
112.0	0	3	0	3
113.0	0	0	0	1
114.0	0	3	0	2
115.0	0	2	0	2
116.0	0	1	0	2
117.0	0	3	0	4
