## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/SCCA1026_merged.bam] OUTPUT=SCCA1026_merged_dedup.bam METRICS_FILE=SCCA1026_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 02 11:26:14 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9886242	67125905	1022111	8845512	1890168	3139179	209752	0.056672	741802254

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.002995	61545623	0	61740090
2.0	1.919214	2268442	207832	2086541
3.0	2.756164	98080	948	86249
4.0	3.520705	20277	8	19721
5.0	4.2191	11233	0	11192
6.0	4.857071	7780	0	7752
7.0	5.439848	5616	0	5596
8.0	5.972205	4238	0	4228
9.0	6.458503	3417	0	3430
10.0	6.902729	2786	0	2762
11.0	7.308522	2191	0	2188
12.0	7.679207	1846	0	1845
13.0	8.017821	1592	0	1585
14.0	8.32714	1398	0	1379
15.0	8.609697	1188	0	1190
16.0	8.867809	1017	0	1026
17.0	9.103589	868	0	873
18.0	9.318971	785	0	768
19.0	9.515718	693	0	689
20.0	9.695443	630	0	635
21.0	9.85962	588	0	578
22.0	10.009592	508	0	519
23.0	10.146589	468	0	468
24.0	10.271733	418	0	408
25.0	10.386051	372	0	362
26.0	10.490478	338	0	348
27.0	10.58587	303	0	292
28.0	10.673009	283	0	282
29.0	10.752609	236	0	236
30.0	10.825323	226	0	220
31.0	10.891745	200	0	211
32.0	10.952421	196	0	190
33.0	11.007848	172	0	171
34.0	11.058479	147	0	150
35.0	11.10473	151	0	146
36.0	11.146979	152	0	151
37.0	11.185573	119	0	118
38.0	11.220828	127	0	135
39.0	11.253032	120	0	115
40.0	11.282451	102	0	100
41.0	11.309324	84	0	86
42.0	11.333872	103	0	103
43.0	11.356297	97	0	88
44.0	11.376781	77	0	81
45.0	11.395493	78	0	77
46.0	11.412587	65	0	65
47.0	11.428201	62	0	63
48.0	11.442465	49	0	47
49.0	11.455494	55	0	49
50.0	11.467396	41	0	49
51.0	11.478269	53	0	47
52.0	11.4882	48	0	51
53.0	11.497273	40	0	42
54.0	11.505561	52	0	48
55.0	11.513131	48	0	46
56.0	11.520047	37	0	37
57.0	11.526364	28	0	29
58.0	11.532135	33	0	39
59.0	11.537406	37	0	33
60.0	11.542222	32	0	37
61.0	11.54662	26	0	20
62.0	11.550639	21	0	21
63.0	11.554309	28	0	25
64.0	11.557662	12	0	13
65.0	11.560725	18	0	15
66.0	11.563523	14	0	19
67.0	11.566079	30	0	28
68.0	11.568414	23	0	22
69.0	11.570546	9	0	11
70.0	11.572495	27	0	26
71.0	11.574274	18	0	17
72.0	11.5759	21	0	23
73.0	11.577385	16	0	16
74.0	11.578741	13	0	12
75.0	11.579981	14	0	11
76.0	11.581113	15	0	16
77.0	11.582147	8	0	9
78.0	11.583091	15	0	17
79.0	11.583954	11	0	8
80.0	11.584742	13	0	17
81.0	11.585462	12	0	9
82.0	11.58612	7	0	7
83.0	11.586721	12	0	10
