## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../pre_dup_removal/merged/JPV029_merged.bam] OUTPUT=JPV029_merged_dedup.bam METRICS_FILE=JPV029_merged_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 09 12:58:04 EDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	21387981	84081507	1359752	17535392	4245953	5085423	477830	0.076058	730352716

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005393	74639399	0	75064112
2.0	1.901454	4041666	469811	3663050
3.0	2.700074	237022	3935	194815
4.0	3.411847	28310	48	24958
5.0	4.046219	11548	0	11272
6.0	4.611607	7506	1	7421
7.0	5.115511	5455	0	5481
8.0	5.564618	4103	0	4058
9.0	5.964888	3070	0	3043
10.0	6.32163	2530	0	2543
11.0	6.639578	2145	0	2106
12.0	6.922951	1679	0	1661
13.0	7.175508	1424	0	1428
14.0	7.400601	1193	0	1181
15.0	7.601217	1035	0	1027
16.0	7.780017	864	0	862
17.0	7.939373	779	0	774
18.0	8.0814	662	0	649
19.0	8.207982	562	0	559
20.0	8.320799	514	0	507
21.0	8.421348	419	0	441
22.0	8.510962	390	0	369
23.0	8.590832	358	0	367
24.0	8.662016	366	0	348
25.0	8.725459	264	0	259
26.0	8.782003	231	0	234
27.0	8.832398	201	0	202
28.0	8.877313	221	0	215
29.0	8.917344	171	0	170
30.0	8.953022	154	0	154
31.0	8.98482	139	0	133
32.0	9.01316	128	0	134
33.0	9.038418	88	0	77
34.0	9.060929	104	0	117
35.0	9.080993	93	0	91
36.0	9.098874	95	0	90
37.0	9.114811	88	0	85
38.0	9.129015	68	0	70
39.0	9.141675	61	0	57
40.0	9.152958	69	0	64
41.0	9.163013	50	0	52
42.0	9.171976	43	0	48
43.0	9.179963	64	0	60
44.0	9.187083	56	0	49
45.0	9.193427	47	0	49
46.0	9.199082	39	0	37
47.0	9.204122	31	0	33
48.0	9.208614	35	0	37
49.0	9.212618	39	0	37
50.0	9.216186	16	0	16
51.0	9.219366	25	0	27
52.0	9.2222	22	0	16
53.0	9.224726	26	0	29
54.0	9.226978	27	0	30
55.0	9.228984	24	0	19
56.0	9.230772	18	0	21
57.0	9.232366	29	0	28
58.0	9.233787	18	0	17
59.0	9.235053	16	0	15
60.0	9.236181	15	0	13
61.0	9.237187	16	0	18
62.0	9.238083	12	0	11
63.0	9.238882	12	0	14
64.0	9.239594	16	0	13
65.0	9.240229	14	0	13
66.0	9.240794	5	0	8
67.0	9.241298	12	0	10
68.0	9.241748	16	0	17
69.0	9.242148	9	0	10
70.0	9.242505	9	0	10
71.0	9.242823	14	0	10
72.0	9.243106	5	0	7
73.0	9.243359	4	0	5
74.0	9.243584	5	0	1
75.0	9.243785	5	0	7
76.0	9.243964	3	0	1
77.0	9.244123	3	0	3
78.0	9.244265	4	0	7
79.0	9.244392	8	0	4
80.0	9.244504	6	0	7
81.0	9.244605	2	0	4
82.0	9.244695	5	0	3
83.0	9.244775	6	0	5
84.0	9.244846	4	0	5
85.0	9.244909	1	0	1
86.0	9.244966	4	0	5
87.0	9.245016	4	0	2
88.0	9.245061	2	0	2
89.0	9.245101	3	0	4
90.0	9.245137	2	0	3
91.0	9.245169	3	0	1
92.0	9.245197	0	0	0
93.0	9.245222	3	0	6
94.0	9.245245	3	0	0
95.0	9.245265	1	0	2
96.0	9.245283	2	0	2
97.0	9.245299	1	0	2
98.0	9.245313	3	0	3
99.0	9.245326	3	0	2
100.0	9.245337	4	0	4
101.0	0	3	0	2
103.0	0	0	0	2
104.0	0	0	0	1
105.0	0	3	0	1
106.0	0	1	0	0
108.0	0	0	0	1
109.0	0	1	0	0
110.0	0	1	0	1
111.0	0	1	0	1
113.0	0	1	0	1
114.0	0	1	0	1
115.0	0	2	0	3
116.0	0	1	0	0
117.0	0	2	0	2
118.0	0	1	0	1
121.0	0	1	0	2
122.0	0	1	0	0
123.0	0	0	0	1
124.0	0	2	0	1
125.0	0	1	0	1
127.0	0	0	0	1
128.0	0	2	0	1
132.0	0	0	0	1
133.0	0	2	0	1
138.0	0	1	0	1
140.0	0	1	0	1
142.0	0	1	0	1
147.0	0	1	0	1
153.0	0	0	0	1
154.0	0	1	0	1
155.0	0	2	0	1
156.0	0	0	0	1
157.0	0	1	0	0
205.0	0	0	0	1
206.0	0	1	0	0

